ID,이름,생년월일,전화번호,주소,메모
7595,권시원,2003-05-12,010-1263-3218,64 칠성로,
7596,권유빈,1989-06-17,010-4041-3263,130 중앙로,
7597,이지연,1989-08-08,010-3903-1300,406 수성로,
7598,안유아,1999-09-10,010-7479-8810,817 수성로,
7599,서민우,1981-03-01,010-4621-9372,984 칠성로,
7600,김지훈,1992-03-25,010-2414-6879,251 수성로,
7601,안진민,2010-09-17,010-4639-1918,953 칠성로,
7602,조수우,2005-09-13,010-9127-3660,444 칠성로,
7603,윤지주,1989-04-18,010-4540-5001,820 중앙로,
7604,김지희,2002-06-10,010-3115-4405,895 칠성로,
7605,서시연,1994-05-24,010-4928-3417,3 범어로,
7606,황지주,1998-01-06,010-6149-5891,623 동성로,
7607,한다원,1995-01-23,010-9756-4706,742 수성로,
7608,황윤성,1989-09-15,010-7060-1891,814 동성로,
7609,조수영,1984-01-26,010-8529-4775,796 칠성로,
7610,임지원,1992-05-25,010-3572-8130,304 중앙로,
7611,김주성,2000-03-26,010-6374-3611,119 동성로,
7612,장도아,2002-12-06,010-6055-6632,532 수성로,
7613,최하원,2007-01-23,010-9175-8528,788 동성로,
7614,전유우,1986-05-15,010-1000-5642,781 중앙로,
7615,윤수율,1995-11-20,010-9256-4310,764 중앙로,
7616,신도경,2006-01-06,010-2608-8875,726 중앙로,
7617,황수원,1981-04-01,010-5243-2334,943 중앙로,
7618,송예아,1990-09-14,010-6852-8117,133 칠성로,
7619,장지빈,2004-06-06,010-2590-6607,297 범어로,
7620,김은경,1995-07-05,010-3150-1772,306 중앙로,
7621,송현주,1986-07-04,010-8128-9951,945 범어로,
7622,정현나,1991-09-12,010-2714-4323,142 범어로,
7623,서윤림,1999-10-10,010-7764-5957,986 중앙로,
7624,한지진,1983-04-25,010-7500-4043,386 중앙로,
7625,서은원,1995-01-19,010-1414-2086,294 동성로,
7626,윤서온,2000-01-18,010-5007-4017,927 범어로,
7627,정현현,2010-07-15,010-5133-2943,515 수성로,
7628,윤서경,2009-01-25,010-1977-4583,170 동성로,
7629,정아경,1999-10-30,010-3138-2403,909 동성로,
7630,황진솔,1982-02-19,010-7293-5013,73 범어로,
7631,류주연,2006-02-21,010-1087-8061,22 범어로,
7632,신다율,1980-10-13,010-7824-1624,326 중앙로,
7633,오서연,1994-09-27,010-4755-9094,43 수성로,
7634,김은윤,2007-07-24,010-8367-6595,650 칠성로,
7635,전진훈,1996-06-25,010-6237-3994,863 범어로,
7636,김유아,1989-08-25,010-3352-4461,667 범어로,
7637,강다현,1991-07-27,010-3758-5712,267 수성로,
7638,류현현,2009-06-04,010-5224-9244,155 수성로,
7639,윤아연,2005-10-09,010-9140-2457,660 동성로,
7640,강준아,1983-01-27,010-3181-8111,924 수성로,
7641,이하연,2010-03-17,010-8067-9771,191 수성로,
7642,조채민,1998-08-31,010-7413-6001,727 범어로,
7643,서유림,1994-01-24,010-6982-4261,258 동성로,
7644,서하림,1999-03-06,010-3342-3924,830 칠성로,
7645,신하솔,2001-01-20,010-4142-4997,656 중앙로,
7646,박수율,1981-09-04,010-9350-3324,484 칠성로,
7647,조진민,2002-10-05,010-6193-4583,769 중앙로,
7648,안다율,1987-05-18,010-2477-9974,695 칠성로,
7649,권채연,2004-05-07,010-9495-2057,41 동성로,
7650,정지경,2005-09-13,010-3873-4480,747 범어로,
7651,정수나,2010-12-11,010-6625-4389,739 동성로,
7652,권유원,1998-12-28,010-8442-6321,82 중앙로,
7653,이유우,1984-11-04,010-3298-1373,665 수성로,
7654,전지솔,1987-08-26,010-9583-9747,769 범어로,
7655,류아아,2004-06-29,010-5282-7725,790 동성로,
7656,박윤율,1981-08-11,010-9320-9601,590 칠성로,
7657,최다우,2001-01-18,010-1856-6205,293 중앙로,
7658,정지율,1981-11-19,010-6517-7315,563 중앙로,
7659,강현온,1989-12-03,010-3463-6037,778 범어로,
7660,임예영,2010-05-08,010-2286-1009,131 범어로,
7661,한도희,1989-02-10,010-7796-4046,535 중앙로,
7662,황다경,1983-08-10,010-1916-8671,33 칠성로,
7663,전유원,2010-01-18,010-5759-4191,643 범어로,
7664,류민빈,1999-10-16,010-5583-6549,703 칠성로,
7665,조시아,1995-03-04,010-3039-3116,953 중앙로,
7666,최진림,1995-02-17,010-4322-9850,794 수성로,
7667,정하현,1983-11-04,010-7234-1437,168 중앙로,
7668,강하훈,1993-05-25,010-1203-9441,476 범어로,
7669,이지솔,1998-04-22,010-1253-5341,460 범어로,
7670,한채주,1991-03-12,010-9374-6627,513 동성로,
7671,류진민,1998-02-06,010-5696-1865,226 범어로,
7672,오아경,1987-05-07,010-3732-5791,165 중앙로,
7673,황주온,1995-04-11,010-6101-6732,27 범어로,
7674,최채온,1980-04-01,010-7264-3887,722 칠성로,
7675,권아연,1985-01-08,010-8602-6096,333 칠성로,
7676,장지빈,2009-03-23,010-4314-5501,707 수성로,
7677,류준민,1995-02-06,010-1732-2327,83 칠성로,
7678,임서현,1995-09-22,010-6951-3005,761 중앙로,
7679,장다온,2010-11-29,010-9911-6850,908 동성로,
7680,최준윤,2007-10-04,010-5224-3588,46 중앙로,
7681,오다온,1981-09-08,010-5291-5601,22 범어로,
7682,윤준주,1996-10-18,010-8649-9713,792 동성로,
7683,윤준솔,1984-11-11,010-3792-8676,819 수성로,
7684,송아영,1999-02-11,010-7324-1522,602 수성로,
7685,정아연,2001-09-01,010-5381-3224,1 범어로,
7686,전하솔,1995-07-28,010-7398-4067,941 수성로,
7687,최지원,2007-05-29,010-9596-2174,641 수성로,
7688,한주우,2004-08-07,010-8530-4041,856 칠성로,
7689,안수율,1989-07-20,010-8450-3200,247 칠성로,
7690,임세원,2001-09-12,010-6509-4037,115 범어로,
7691,이은희,1980-03-28,010-1222-4845,803 칠성로,
7692,최진진,1983-05-07,010-8458-5071,426 중앙로,
7693,한세우,1987-01-26,010-9911-6119,659 칠성로,
7694,류수경,1992-10-24,010-8094-6280,735 칠성로,
7695,류세주,1993-01-19,010-7650-9346,50 수성로,
7696,오시현,1989-07-05,010-9309-6804,445 중앙로,
7697,조은윤,2003-03-15,010-5107-3111,112 동성로,
7698,박준영,1998-05-15,010-1934-6007,565 중앙로,
7699,정지성,2005-05-14,010-7595-3689,187 칠성로,
7700,오현훈,1994-11-30,010-4252-4815,836 중앙로,
7701,류진주,1994-03-01,010-5771-4671,857 중앙로,
7702,이유율,1980-08-11,010-6671-5714,436 수성로,
7703,안세우,1994-08-11,010-1536-2227,937 동성로,
7704,송진우,1989-10-04,010-5194-1257,498 칠성로,
7705,조수원,2008-03-10,010-4039-5730,31 중앙로,
7706,정시율,1989-12-19,010-9629-9085,878 중앙로,
7707,류수림,1988-07-06,010-6394-7116,896 중앙로,
7708,안지윤,1999-11-26,010-5885-5776,176 범어로,
7709,이주민,1992-02-23,010-1475-7902,847 동성로,
7710,이지빈,1991-09-20,010-9738-2606,649 수성로,
7711,이채나,1994-10-03,010-8616-1350,782 칠성로,
7712,류아아,2009-06-24,010-8889-7525,843 중앙로,
7713,박준우,2006-02-18,010-9671-1750,914 칠성로,
7714,한은윤,1998-11-09,010-4778-3363,758 범어로,
7715,김예희,1988-05-09,010-8116-7716,189 수성로,
7716,송다우,1983-08-21,010-6572-1575,980 수성로,
7717,송지아,2000-05-25,010-6464-2297,229 칠성로,
7718,권민현,1995-10-06,010-4656-8913,599 동성로,
7719,류민온,2004-06-05,010-4011-5792,839 칠성로,
7720,오진현,1986-01-15,010-4035-7654,348 범어로,
7721,최지아,2009-11-14,010-6333-1641,680 범어로,
7722,박준영,1991-07-17,010-4911-8974,572 범어로,
7723,조예진,2003-01-01,010-1760-2326,343 중앙로,
7724,류민율,1995-05-15,010-1828-7144,670 동성로,
7725,김유훈,2003-10-20,010-5666-3661,856 중앙로,
7726,조세주,2010-12-01,010-4954-3256,820 수성로,
7727,안민온,2000-12-18,010-6394-7190,842 중앙로,
7728,정다현,1995-07-30,010-6538-7855,15 칠성로,
7729,송시원,1994-06-04,010-3424-5359,745 칠성로,
7730,한민희,1996-04-04,010-8461-6572,249 칠성로,
7731,권윤주,2010-10-14,010-3233-7886,569 범어로,
7732,정유율,1986-05-23,010-1164-4673,461 수성로,
7733,한다율,1980-09-10,010-8594-4454,936 범어로,
7734,송유연,1999-01-05,010-4801-8632,63 수성로,
7735,안하율,1997-08-16,010-9389-1222,499 범어로,
7736,서하우,1993-06-27,010-2430-4991,289 중앙로,
7737,강유림,1981-08-26,010-6746-5525,527 범어로,
7738,이도우,1993-05-08,010-4628-5345,784 칠성로,
7739,송윤진,1999-08-28,010-2903-8778,301 동성로,
7740,강민현,1985-11-10,010-3350-3319,650 범어로,
7741,황유민,2010-04-17,010-5210-1883,323 동성로,
7742,이하현,1981-09-20,010-5031-7430,389 칠성로,
7743,윤다민,2009-08-03,010-6902-3011,993 칠성로,
7744,박수희,1988-11-26,010-9200-1978,552 동성로,
7745,정진영,1997-02-16,010-2060-3977,945 중앙로,
7746,임주빈,2000-05-25,010-1246-5123,135 범어로,
7747,윤시원,2009-05-25,010-2467-6142,498 칠성로,
7748,정지빈,1985-06-26,010-3043-4990,130 칠성로,
7749,정윤율,1986-03-24,010-6019-1767,227 동성로,
7750,류주주,1989-01-16,010-5004-1839,280 동성로,
7751,최서솔,2008-01-13,010-9446-6451,289 범어로,
7752,오다주,2000-06-04,010-2122-9573,828 칠성로,
7753,김수진,1999-01-09,010-9255-5943,722 동성로,
7754,정은주,1990-09-20,010-9036-8998,323 중앙로,
7755,권지나,1999-12-02,010-1047-5592,949 범어로,
7756,장지영,2006-01-09,010-7116-4988,279 범어로,
7757,강주윤,2001-05-14,010-1861-5560,906 범어로,
7758,권서우,1995-07-18,010-3472-1560,126 칠성로,
7759,윤다율,2002-04-27,010-9005-2844,224 수성로,
7760,조윤진,1987-04-02,010-1884-7085,877 중앙로,
7761,송민민,1984-07-01,010-3605-8453,480 칠성로,
7762,신윤연,1988-12-08,010-5078-6664,138 수성로,
7763,최시훈,1994-01-28,010-5747-8852,568 수성로,
7764,권수아,1980-04-22,010-2754-9254,65 칠성로,
7765,정주빈,2002-01-17,010-2618-7059,174 칠성로,
7766,신시진,1995-07-25,010-3374-4358,932 칠성로,
7767,한윤율,1993-06-30,010-4366-4610,211 동성로,
7768,류수빈,1987-07-03,010-9920-8552,700 수성로,
7769,송채우,1983-03-29,010-6629-7190,245 동성로,
7770,전민현,1980-09-01,010-1302-3197,28 칠성로,
7771,권시현,2004-02-01,010-2288-3312,297 범어로,
7772,신진경,1993-03-13,010-5854-6616,145 중앙로,
7773,오도윤,1990-04-24,010-9930-3885,489 중앙로,
7774,강수나,1992-06-10,010-2998-5701,620 동성로,
7775,안현아,2001-08-28,010-5208-2073,944 동성로,
7776,임시연,1982-08-30,010-6734-7986,436 중앙로,
7777,김하연,1982-12-19,010-5265-3601,141 칠성로,
7778,신주림,2007-02-24,010-2884-3538,9 수성로,
7779,이주주,1987-11-18,010-4104-6969,400 중앙로,
7780,김채현,1992-05-15,010-6744-7969,566 중앙로,
7781,송채민,1981-04-07,010-2598-6426,671 수성로,
7782,오유율,1990-01-05,010-7241-1244,723 범어로,
7783,권지빈,1983-03-18,010-5973-2640,490 칠성로,
7784,김현림,1982-07-17,010-4231-8856,462 칠성로,
7785,정채우,2004-06-06,010-8122-1603,498 범어로,
7786,권유아,1995-04-27,010-6579-4134,557 범어로,
7787,서주아,1993-10-06,010-5666-2835,773 범어로,
7788,오지나,1992-10-14,010-8891-3748,663 수성로,
7789,장도율,1991-02-18,010-6217-1089,783 수성로,
7790,조진율,1981-01-09,010-9777-9839,690 칠성로,
7791,강시훈,1982-04-09,010-8654-3739,793 수성로,
7792,장준성,1981-09-24,010-9885-3495,497 칠성로,
7793,안시경,1980-02-05,010-7114-5439,543 범어로,
7794,임지연,1986-12-26,010-4809-6251,320 동성로,
7795,이지연,1994-11-16,010-5281-8796,436 수성로,
7796,장시민,2000-06-10,010-9222-8182,162 중앙로,
7797,신지연,1995-11-11,010-2889-7469,244 범어로,
7798,권채희,1987-12-29,010-3613-4714,384 범어로,
7799,류민우,1988-11-24,010-4963-6839,376 칠성로,
7800,강세희,2007-12-02,010-4528-1188,98 범어로,
7801,서시진,2008-05-18,010-2784-9484,509 수성로,
7802,강세윤,1981-10-17,010-2002-4392,799 칠성로,
7803,이지아,1996-07-26,010-1325-1176,236 수성로,
7804,박현빈,2008-04-29,010-6155-8470,274 칠성로,
7805,임준윤,1981-03-31,010-7777-5604,322 칠성로,
7806,류진민,2003-06-08,010-3192-9188,580 동성로,
7807,전준연,1992-02-26,010-8126-1929,634 중앙로,
7808,송민나,1984-05-23,010-6914-2509,758 칠성로,
7809,박지솔,2002-08-08,010-5174-5790,728 수성로,
7810,이현빈,1980-12-09,010-6445-6769,470 중앙로,
7811,장윤나,2001-08-17,010-4896-3293,745 칠성로,
7812,정세경,2005-12-02,010-5531-9023,602 중앙로,
7813,김지연,1992-11-01,010-7210-3987,239 동성로,
7814,윤준영,2000-01-30,010-3482-2680,469 범어로,
7815,오지원,2003-03-10,010-2976-6694,743 동성로,
7816,임아연,2006-12-23,010-1883-6869,814 동성로,
7817,신유현,1996-05-14,010-1917-1339,733 범어로,
7818,서민빈,1980-03-24,010-1620-1788,464 범어로,
7819,강현성,1989-06-03,010-2586-1168,565 동성로,
7820,황수성,2005-06-16,010-1639-4414,440 동성로,
7821,이현솔,1999-02-16,010-8228-4902,465 범어로,
7822,오지율,1984-04-24,010-2076-2357,755 칠성로,
7823,강유우,2002-05-03,010-9818-6691,754 수성로,
7824,권하율,2009-11-01,010-4924-3467,738 동성로,
7825,한하진,2003-03-13,010-1567-9679,361 수성로,
7826,강준율,1988-12-02,010-6831-6221,683 수성로,
7827,박은윤,2006-07-26,010-1204-9005,22 동성로,
7828,박하영,1995-09-06,010-1848-8162,465 칠성로,
7829,최다온,2007-11-20,010-2305-2284,226 수성로,
7830,박준나,1985-02-13,010-9055-4446,758 동성로,
7831,임주민,2000-10-27,010-7524-7205,695 수성로,
7832,송도아,2010-06-30,010-3967-7227,46 수성로,
7833,이은나,2003-01-08,010-2387-4479,847 칠성로,
7834,윤유주,1981-03-14,010-4232-3994,888 중앙로,
7835,오지진,1991-10-09,010-7407-3601,869 동성로,
7836,김윤민,1996-09-09,010-6935-9062,51 동성로,
7837,신진성,1986-03-12,010-2209-2888,996 중앙로,
7838,류윤민,2009-08-27,010-6780-2881,309 칠성로,
7839,안은율,1991-07-06,010-7097-4354,466 중앙로,
7840,조아경,2002-03-12,010-3852-6587,784 동성로,
7841,오세아,1996-03-21,010-6596-4401,932 칠성로,
7842,이준율,1984-06-14,010-1992-5895,408 수성로,
7843,류현경,1990-03-09,010-4100-7131,186 칠성로,
7844,송아율,1980-07-15,010-6181-1816,753 중앙로,
7845,조채림,1980-01-20,010-6174-5704,804 범어로,
7846,정예민,2000-05-08,010-4756-9780,256 칠성로,
7847,황세현,2000-01-13,010-7528-8101,153 중앙로,
7848,최다연,2005-06-03,010-5517-2670,248 칠성로,
7849,임은희,1992-06-16,010-5313-8649,156 중앙로,
7850,조세성,2003-06-02,010-3087-8450,233 동성로,
7851,전하윤,2008-08-23,010-4157-9318,78 칠성로,
7852,박윤온,1988-12-10,010-8466-8900,221 수성로,
7853,서현윤,2005-12-16,010-3384-6273,327 칠성로,
7854,안시아,1980-12-16,010-7033-3226,558 칠성로,
7855,황도현,1984-09-20,010-5667-3669,508 범어로,
7856,서진현,1992-12-27,010-2233-3467,665 수성로,
7857,신윤윤,1994-03-02,010-6428-2684,159 수성로,
7858,조서율,2008-04-12,010-6167-6543,118 중앙로,
7859,강은림,2008-12-10,010-1658-2687,379 중앙로,
7860,장서원,1991-08-29,010-4601-2049,292 중앙로,
7861,서수연,2004-09-27,010-4377-3792,995 칠성로,
7862,최지아,1981-09-21,010-5458-6377,592 칠성로,
7863,박수성,2002-03-15,010-3546-3389,868 칠성로,
7864,김하현,2000-04-22,010-8868-4382,506 수성로,
7865,장은진,1990-03-28,010-4535-6400,786 중앙로,
7866,신현아,1983-12-05,010-9648-1220,283 범어로,
7867,조서진,1988-12-04,010-1845-6276,549 동성로,
7868,이지온,2004-02-14,010-6721-9498,889 동성로,
7869,최시아,1991-02-20,010-9137-5434,491 수성로,
7870,황아원,1992-05-09,010-4314-7550,845 수성로,
7871,전진빈,1988-02-13,010-6711-3740,843 동성로,
7872,류진민,1997-08-24,010-2972-9412,177 범어로,
7873,조진율,2005-04-29,010-1185-4601,781 수성로,
7874,박하빈,2009-05-02,010-1044-3309,311 범어로,
7875,오지빈,2003-12-03,010-2589-8345,973 동성로,
7876,임준아,1983-10-12,010-5548-7932,132 중앙로,
7877,류민연,1981-08-21,010-2194-5059,846 중앙로,
7878,임유온,1991-09-29,010-5713-5863,622 수성로,
7879,임현림,1988-01-08,010-4548-3733,18 범어로,
7880,서아나,1992-08-10,010-3420-6627,526 범어로,
7881,정지나,1990-05-29,010-2525-6716,492 수성로,
7882,김진빈,1980-10-06,010-6060-1295,251 범어로,
7883,안세율,1993-09-10,010-3117-8093,863 칠성로,
7884,권현나,1996-01-04,010-6556-5966,421 동성로,
7885,권아나,2003-04-24,010-4949-5090,746 범어로,
7886,이하윤,1986-03-11,010-6088-4711,538 중앙로,
7887,정준경,1990-10-04,010-3215-6255,257 칠성로,
7888,황아원,1994-06-05,010-5733-9878,541 칠성로,
7889,황예현,2005-05-11,010-9314-9351,765 범어로,
7890,류진솔,2010-04-27,010-1993-5568,313 중앙로,
7891,최예림,1994-05-11,010-3477-9130,960 동성로,
7892,전예림,1996-12-23,010-4528-4851,752 동성로,
7893,오지온,2000-10-26,010-2001-6058,429 수성로,
7894,서준원,2009-11-05,010-5360-5252,425 중앙로,
7895,강예훈,1983-03-14,010-4140-1150,999 수성로,
7896,김시아,1998-09-03,010-9943-7980,244 동성로,
7897,강유나,1981-04-30,010-4171-6622,51 칠성로,
7898,김다원,2002-02-13,010-9987-9133,972 칠성로,
7899,김다우,1999-08-05,010-1030-3968,227 수성로,
7900,최지영,1998-12-03,010-8890-9960,605 수성로,
7901,서주림,2001-12-28,010-5018-9089,380 동성로,
7902,서아현,2007-10-11,010-8498-2419,29 범어로,
7903,임시연,1993-03-17,010-7410-8327,763 수성로,
7904,최유림,2009-10-07,010-4851-1793,801 범어로,
7905,황채우,1995-03-27,010-2751-6710,301 동성로,
7906,권주우,2000-03-14,010-5900-8089,670 동성로,
7907,강다연,1980-03-16,010-2850-9953,359 동성로,
7908,한지윤,1999-02-15,010-7874-9500,653 범어로,
7909,안진희,1988-10-15,010-2127-1076,241 중앙로,
7910,한준온,1987-02-04,010-8384-3561,507 수성로,
7911,송세솔,1992-04-20,010-4340-4311,441 칠성로,
7912,박지림,1995-06-07,010-3499-5562,416 중앙로,
7913,안하나,2009-07-24,010-2457-1572,668 칠성로,
7914,오지진,1996-05-29,010-7236-1580,509 중앙로,
7915,황아림,1997-08-21,010-6049-2989,73 동성로,
7916,박하림,2003-10-10,010-1011-7218,256 수성로,
7917,박시빈,2005-02-02,010-5873-8623,900 수성로,
7918,박지율,2007-03-05,010-2137-3922,933 수성로,
7919,오유성,2006-11-06,010-2097-9651,600 동성로,
7920,조채현,1999-12-23,010-6191-3701,429 중앙로,
7921,황현훈,2009-09-24,010-8456-5422,6 칠성로,
7922,윤서빈,2008-01-15,010-7333-2568,158 칠성로,
7923,조지빈,2005-03-20,010-5108-3543,414 칠성로,
7924,류도훈,2007-11-14,010-8293-6888,162 중앙로,
7925,임수성,1994-09-20,010-4458-6601,603 범어로,
7926,한준온,2004-10-11,010-6752-9661,197 수성로,
7927,한준율,2006-08-24,010-4034-9704,590 범어로,
7928,서진희,2008-04-06,010-2056-1501,624 동성로,
7929,임은온,1996-06-19,010-1087-4601,769 수성로,
7930,황지윤,2008-12-03,010-4368-8949,946 범어로,
7931,서세우,1991-06-08,010-7509-4596,655 동성로,
7932,송하빈,1992-05-31,010-5504-9019,211 범어로,
7933,전윤진,2001-07-06,010-8994-2317,42 범어로,
7934,류민연,2004-08-06,010-4117-7558,298 칠성로,
7935,강도솔,1995-02-24,010-4786-6044,631 칠성로,
7936,장아진,2000-01-18,010-5216-3153,320 칠성로,
7937,한세연,1980-12-09,010-6181-6200,719 동성로,
7938,최도영,2005-06-25,010-1077-4629,372 중앙로,
7939,조은연,2000-01-17,010-8291-5051,794 수성로,
7940,오아윤,1999-09-13,010-3551-7567,830 중앙로,
7941,송유경,2006-10-01,010-2907-5929,663 범어로,
7942,김다현,1988-11-01,010-1649-1658,251 칠성로,
7943,장수아,1993-05-24,010-4056-6706,723 중앙로,
7944,안진원,1993-08-03,010-5575-4077,79 범어로,
7945,윤수주,1986-07-15,010-9861-3402,211 동성로,
7946,박주희,1998-01-11,010-8158-1943,595 칠성로,
7947,안준희,1995-05-22,010-3153-7582,257 수성로,
7948,류서온,1998-04-06,010-7553-7186,736 동성로,
7949,안다원,2005-11-23,010-3958-4530,365 칠성로,
7950,김채성,1996-07-09,010-2925-2126,985 수성로,
7951,서진우,1999-01-04,010-6094-1672,542 칠성로,
7952,이세아,2007-07-31,010-8223-3550,995 수성로,
7953,조준아,1995-11-26,010-3702-4259,906 수성로,
7954,김준온,1999-02-02,010-3364-8128,540 칠성로,
7955,장아원,2003-04-30,010-9848-1981,194 칠성로,
7956,송진현,2001-03-20,010-5480-8401,435 수성로,
7957,김준경,2002-02-06,010-4643-7789,395 칠성로,
7958,황은림,2000-05-16,010-6706-8582,846 칠성로,
7959,류시연,2000-04-02,010-2109-7812,341 동성로,
7960,서민율,1986-06-05,010-8688-6042,609 수성로,
7961,전현우,1985-07-07,010-1763-3945,868 칠성로,
7962,조서연,1990-02-07,010-5063-1500,993 동성로,
7963,오시윤,2007-06-10,010-1671-6163,383 수성로,
7964,윤채진,1983-03-04,010-8941-3624,122 중앙로,
7965,김민경,1995-01-31,010-9059-5430,853 범어로,
7966,안은경,1980-02-26,010-1338-6121,291 범어로,
7967,윤다민,2004-04-04,010-5045-8362,47 동성로,
7968,신현원,2006-07-06,010-2107-4300,599 칠성로,
7969,전준현,1986-03-28,010-7284-9856,261 범어로,
7970,신하원,2001-01-08,010-3641-2008,708 동성로,
7971,임지온,2002-04-23,010-6633-2421,731 동성로,
7972,이도훈,2001-05-29,010-9049-1565,978 동성로,
7973,김채성,1995-12-22,010-2392-8948,593 범어로,
7974,임진주,2008-12-18,010-5541-3090,791 수성로,
7975,강지윤,1989-04-24,010-1769-3638,367 중앙로,
7976,윤지율,1984-06-05,010-8554-1227,479 동성로,
7977,서준연,2000-01-27,010-6641-6701,47 칠성로,
7978,송세빈,1981-09-21,010-2290-8178,300 칠성로,
7979,김준율,2007-08-04,010-9318-9369,567 수성로,
7980,권다훈,1989-10-20,010-7517-2013,879 동성로,
7981,정지아,1982-06-20,010-4387-5850,317 수성로,
7982,임시온,1990-07-22,010-3043-2200,931 동성로,
7983,윤도영,1984-10-23,010-9072-4519,883 동성로,
7984,송세영,2004-01-04,010-2597-2659,902 중앙로,
7985,한시아,2000-08-31,010-5517-7909,295 중앙로,
7986,이현훈,1997-07-06,010-3108-6751,350 수성로,
7987,안진훈,1999-03-22,010-7143-4116,351 칠성로,
7988,송은아,2004-11-10,010-8522-8012,686 동성로,
7989,한민현,1990-09-15,010-8604-4606,879 칠성로,
7990,임예경,1990-04-22,010-9679-4838,313 수성로,
7991,정도희,1999-03-08,010-5323-7921,753 범어로,
7992,송진솔,2000-09-04,010-6702-2546,566 수성로,
7993,최현나,2002-07-21,010-2760-9878,473 동성로,
7994,이지희,2008-12-07,010-7960-7234,701 중앙로,
7995,최지영,1986-04-10,010-7294-4354,965 칠성로,
7996,류도현,1988-09-24,010-5496-1345,350 칠성로,
7997,서주윤,2001-05-20,010-7052-3661,989 수성로,
7998,임수온,2005-05-20,010-8713-2715,249 수성로,
7999,김세윤,1981-07-12,010-1245-3209,613 칠성로,
8000,전다윤,1993-10-27,010-9253-3427,502 범어로,
8001,황유진,1995-05-10,010-6714-4148,153 범어로,
8002,권진경,2009-01-05,010-1343-5155,365 범어로,
8003,조수빈,2005-02-18,010-4515-9929,221 동성로,
8004,박서아,2008-10-07,010-5762-4774,810 동성로,
8005,이서윤,1993-01-13,010-3285-7540,303 수성로,
8006,최유빈,1986-10-08,010-8938-9874,468 동성로,
8007,김서아,1988-01-13,010-9397-9980,74 수성로,
8008,송채빈,2010-01-22,010-9723-6685,381 범어로,
8009,황하원,1990-05-02,010-9782-9421,902 칠성로,
8010,신윤우,1985-02-12,010-5945-1388,11 중앙로,
8011,류세주,2009-10-18,010-8975-7157,357 중앙로,
8012,전민연,1999-09-21,010-4391-1691,698 동성로,
8013,전주훈,1994-07-19,010-4960-6703,131 동성로,
8014,정세림,2008-12-25,010-1235-5409,211 중앙로,
8015,신은주,1992-01-23,010-5813-8543,823 수성로,
8016,정진주,1988-04-01,010-5466-4179,615 동성로,
8017,임주경,1982-11-24,010-1516-2733,797 동성로,
8018,오세원,1999-09-21,010-8976-5789,277 범어로,
8019,윤진율,1985-08-13,010-6059-1540,537 범어로,
8020,강현윤,1996-04-28,010-4465-3427,30 중앙로,
8021,권세윤,2005-11-03,010-3469-5189,934 동성로,
8022,전윤영,1982-04-15,010-9510-2174,335 칠성로,
8023,김윤성,1991-07-04,010-3558-3559,129 칠성로,
8024,이주훈,2007-04-17,010-4810-3109,456 칠성로,
8025,이현아,1993-12-17,010-4788-8009,511 중앙로,
8026,송예온,1987-03-03,010-4796-5752,262 범어로,
8027,권지온,2001-09-23,010-4073-2939,751 범어로,
8028,신지현,2003-04-16,010-4314-4900,511 중앙로,
8029,이준훈,1990-03-29,010-2502-8321,627 중앙로,
8030,장현훈,1984-11-02,010-2946-4260,210 칠성로,
8031,류시우,1994-01-20,010-2129-7825,129 범어로,
8032,송시온,1996-01-30,010-3460-9341,91 범어로,
8033,강현현,2004-05-20,010-9281-1630,421 중앙로,
8034,정유진,2000-04-06,010-8015-5844,233 범어로,
8035,박채빈,2009-07-26,010-1193-1054,716 수성로,
8036,서지온,2006-02-14,010-6929-7627,43 칠성로,
8037,서다희,1992-08-20,010-3443-3265,673 중앙로,
8038,이현림,1996-11-17,010-4874-4409,220 칠성로,
8039,강윤주,1988-09-22,010-4478-6218,743 범어로,
8040,정지영,2006-04-07,010-4754-5433,948 칠성로,
8041,강윤나,2003-04-20,010-4419-2826,704 칠성로,
8042,강유주,2002-02-03,010-1050-2134,917 범어로,
8043,조민우,1991-02-11,010-5476-6443,577 중앙로,
8044,장세경,1999-03-15,010-3976-8133,206 수성로,
8045,황하빈,1989-10-05,010-1861-5362,187 범어로,
8046,권다영,1989-08-18,010-3630-8866,862 수성로,
8047,임시주,2009-02-17,010-4952-3176,567 동성로,
8048,김수빈,2009-03-24,010-5060-1343,598 수성로,
8049,조현원,2006-12-02,010-7931-3009,839 수성로,
8050,이준윤,1986-07-24,010-3757-1978,409 수성로,
8051,윤시윤,2003-07-16,010-5043-6158,203 중앙로,
8052,이민나,2001-08-08,010-2512-2270,777 중앙로,
8053,송지연,1981-07-15,010-7519-1984,437 동성로,
8054,조채주,1996-08-09,010-1655-9180,252 칠성로,
8055,황현현,2009-02-11,010-9542-1406,169 동성로,
8056,권준우,1980-11-14,010-3644-9211,44 범어로,
8057,한채성,1982-04-07,010-1873-6793,109 중앙로,
8058,이아주,1990-01-17,010-9458-8501,63 중앙로,
8059,장윤아,1989-08-29,010-4248-4069,892 수성로,
8060,장유원,1980-07-02,010-3921-3860,220 범어로,
8061,강현온,1982-04-04,010-3015-1410,344 중앙로,
8062,조서경,1988-06-17,010-4822-7060,13 범어로,
8063,전시민,2006-02-01,010-3985-7603,998 수성로,
8064,최지주,2010-08-09,010-1690-5466,632 수성로,
